"city","state","lat","lng","population","Business Freedom","Commute","Cost of Living","Economy","Education","Environmental Quality","Healthcare","Housing","Internet Access","Leisure & Culture","Outdoors","Safety","Startups","Taxation","Tolerance","Travel Connectivity","Venture Capital"
"Cambridge","MA",42.3759,-71.1185,116892,8.671,4.39625,4.259,6.5145,8.6245,8.1705,8.956,1,5.7005,8.564,5.66,7.742,9.565,4.062,8.4815,3.215,10
"Campbell","CA",37.2802,-121.9539,43954,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Campbell","FL",28.2603,-81.4525,2132,8.671,4.33875,5.284,6.5145,3.6245,6.676,8.274,5.7785,4.886,5.9295,4.493,4.134,6.5975,4.772,5.784,3.7735,2.464
"Canonsburg","PA",40.2643,-80.1867,9643,8.671,4.308,4.795,6.5145,6.5935,6.87425,8.58233333333333,5.9635,8.6695,6.859,4.0685,4.791,6.5075,3.7785,7.39,1.738,3.581
"Cary","IL",42.2129,-88.2494,17919,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Cary","NC",35.7819,-78.8195,171603,8.671,4.78425,5.61,6.5145,7.1165,8.58375,8.96666666666667,6.1285,7.9515,6.613,3.3905,6.5225,5.497,4.062,7.562,1.757,5.157
"Centreville","IL",38.5799,-90.1037,4346,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Centreville","VA",38.839,-77.4389,73064,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Chandler","AZ",33.2825,-111.8514,272439,8.671,4.8285,6.208,6.5145,4.591,4.62525,8.56733333333333,6.533,6.178,6.81,6.7355,2.583,6.5085,4.488,5.565,3.3025,4.558
"Chandler","OK",35.7224,-96.8925,2905,8.671,5.02725,6.394,6.5145,3.6245,7.61525,8.549,7.261,7.689,5.376,4.129,4.6855,4.1375,4.204,6.022,1.399,NA
"Chantilly","VA",38.8868,-77.4453,23564,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Chapel Hill","NC",35.9271,-79.0391,60920,8.671,4.78425,5.61,6.5145,7.1165,8.58375,8.96666666666667,6.1285,7.9515,6.613,3.3905,6.5225,5.497,4.062,7.562,1.757,5.157
"Charleston","IL",39.4842,-88.1781,18130,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Charleston","SC",32.8168,-79.9687,685517,8.671,4.62075,3.567,6.5145,3.6245,7.276,8.91433333333333,4.637,6.093,6.595,5.0095,5.0555,4.92,4.062,5.771,1.399,2.011
"Charlotte","NC",35.2083,-80.8303,1516107,8.671,4.134,4.987,6.5145,3.6245,8.00925,8.81133333333333,5.549,6.387,5.606,1.3115,5.3475,6.248,4.062,6.7895,3.679,2.878
"Chicago Heights","IL",41.51,-87.6345,27840,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Chicago","IL",41.8375,-87.6866,8595181,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Cincinnati","OH",39.1413,-84.506,1712287,8.671,4.7435,6.108,6.5145,4.2805,7.1095,8.638,6.6775,6.512,6.118,3.6075,4.975,6.0995,3.9205,5.299,1.9265,2.709
"Claremont","CA",34.1259,-117.7153,36312,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Claymont","DE",39.8032,-75.4607,9508,8.671,4.1315,4.422,6.5145,6.0285,5.124,8.62166666666667,4.207,7.443,8.492,4.115,3.133,7.3625,3.7785,5.8645,3.556,5.216
"Clearwater","FL",27.979,-82.7623,116616,8.671,1.40075,5.253,6.5145,4.2805,7.37875,8.78166666666667,5.696,7.195,6.434,5.497,4.7065,6.347,4.772,5.36,2.9055,3.778
"Cleveland","FL",26.9529,-81.9925,2683,8.671,1.40075,5.253,6.5145,4.2805,7.37875,8.78166666666667,5.696,7.195,6.434,5.497,4.7065,6.347,4.772,5.36,2.9055,3.778
"Cleveland","GA",34.597,-83.7622,3464,8.671,3.89775,5.241,6.5145,6.457,5.81775,8.534,4.9755,6.4805,7.7655,5.0095,2.6725,8.835,4.204,4.062,5.2915,7.257
"Cleveland","OH",41.4764,-81.6805,1683059,8.671,4.42125,5.595,6.5145,4.6185,7.2505,8.899,7.156,5.4765,5.6965,4.669,3.637,4.961,3.9205,4.7755,2.0775,3.646
"Clifton","NJ",40.863,-74.1575,89460,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"College Park","GA",33.6363,-84.464,14032,8.671,3.89775,5.241,6.5145,6.457,5.81775,8.534,4.9755,6.4805,7.7655,5.0095,2.6725,8.835,4.204,4.062,5.2915,7.257
"College Park","MD",38.996,-76.9337,34961,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Collierville","CA",38.2141,-121.2675,1856,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Collierville","TN",35.047,-89.6987,50669,8.671,1.9175,5.829,6.5145,3.6245,4.54525,7.52366666666667,7.1145,6.07,6.8605,3.5695,2.8585,4.4495,4.772,4.0405,1.6615,NA
"Colorado Springs","CO",38.8674,-104.7605,628808,8.671,1.73525,5.375,6.5145,3.6245,8.5265,8.39366666666667,6.4995,5.9225,3.812,7.3565,5.3775,4.267,4.346,9.206,1.266,2.147
